x[km] y[km] z[km] vx[km] vy[km] vz[km]
149577867.306 2573437.796  0.000 -0.512 29.781  0.000 
149511475.776 5146114.122  0.000 -1.024 29.768  0.000 
149400845.068 7717267.735  0.000 -1.536 29.746  0.000 
149246007.934 10286137.841  0.000 -2.048 29.715  0.000 
149047010.217 12851964.322  0.000 -2.558 29.675  0.000 
148803910.834 15413987.961  0.000 -3.068 29.627  0.000 
148516781.757 17971450.667  0.000 -3.578 29.569  0.000 
148185707.994 20523595.696  0.000 -4.086 29.504  0.000 
147810787.561 23069667.882  0.000 -4.592 29.429  0.000 
147392131.456 25608913.853  0.000 -5.098 29.346  0.000 
146929863.624 28140582.258  0.000 -5.602 29.254  0.000 
146424120.918 30663923.991  0.000 -6.104 29.153  0.000 
145875053.062 33178192.409  0.000 -6.605 29.044  0.000 
145282822.605 35682643.555  0.000 -7.103 28.926  0.000 
144647604.870 38176536.379  0.000 -7.600 28.799  0.000 
143969587.906 40659132.958  0.000 -8.094 28.664  0.000 
143248972.429 43129698.711  0.000 -8.586 28.521  0.000 
142485971.764 45587502.621  0.000 -9.075 28.369  0.000 
141680811.781 48031817.449  0.000 -9.562 28.208  0.000 
140833730.826 50461919.952  0.000 -10.045 28.040  0.000 
139944979.655 52877091.094  0.000 -10.526 27.863  0.000 
139014821.355 55276616.259  0.000 -11.004 27.678  0.000 
138043531.268 57659785.468  0.000 -11.478 27.484  0.000 
137031396.909 60025893.583  0.000 -11.949 27.283  0.000 
135978717.880 62374240.520  0.000 -12.417 27.073  0.000 
134885805.782 64704131.452  0.000 -12.880 26.856  0.000 
133752984.124 67014877.021  0.000 -13.340 26.630  0.000 
132580588.223 69305793.537  0.000 -13.796 26.397  0.000 
131368965.109 71576203.183  0.000 -14.248 26.155  0.000 
130118473.418 73825434.215  0.000 -14.696 25.906  0.000 
128829483.291 76052821.162  0.000 -15.139 25.650  0.000 
127502376.257 78257705.019  0.000 -15.578 25.385  0.000 
126137545.128 80439433.448  0.000 -16.013 25.114  0.000 
124735393.875 82597360.967  0.000 -16.442 24.835  0.000 
123296337.515 84730849.144  0.000 -16.867 24.548  0.000 
121820801.983 86839266.782  0.000 -17.287 24.254  0.000 
120309224.008 88921990.110  0.000 -17.701 23.953  0.000 
118762050.983 90978402.966  0.000 -18.110 23.645  0.000 
117179740.832 93007896.978  0.000 -18.514 23.330  0.000 
115562761.877 95009871.745  0.000 -18.913 23.008  0.000 
113911592.694 96983735.018  0.000 -19.306 22.680  0.000 
112226721.976 98928902.868  0.000 -19.693 22.344  0.000 
110508648.386 100844799.866  0.000 -20.074 22.002  0.000 
108757880.411 102730859.250  0.000 -20.450 21.653  0.000 
106974936.206 104586523.092  0.000 -20.819 21.299  0.000 
105160343.449 106411242.463  0.000 -21.182 20.937  0.000 
103314639.176 108204477.599  0.000 -21.539 20.570  0.000 
101438369.629 109965698.056  0.000 -21.890 20.196  0.000 
99532090.089 111694382.870  0.000 -22.234 19.817  0.000 
97596364.715 113390020.709  0.000 -22.571 19.431  0.000 
95631766.373 115052110.026  0.000 -22.902 19.040  0.000 
93638876.471 116680159.205  0.000 -23.226 18.643  0.000 
91618284.784 118273686.710  0.000 -23.543 18.241  0.000 
89570589.277 119832221.223  0.000 -23.854 17.833  0.000 
87496395.933 121355301.787  0.000 -24.157 17.420  0.000 
85396318.571 122842477.940  0.000 -24.453 17.002  0.000 
83270978.662 124293309.849  0.000 -24.741 16.579  0.000 
81121005.150 125707368.441  0.000 -25.023 16.151  0.000 
78947034.261 127084235.525  0.000 -25.297 15.718  0.000 
76749709.315 128423503.924  0.000 -25.563 15.281  0.000 
74529680.538 129724777.587  0.000 -25.822 14.839  0.000 
72287604.870 130987671.711  0.000 -26.074 14.393  0.000 
70024145.765 132211812.852  0.000 -26.317 13.942  0.000 
67739973.001 133396839.038  0.000 -26.553 13.487  0.000 
65435762.477 134542399.873  0.000 -26.781 13.028  0.000 
63112196.016 135648156.643  0.000 -27.001 12.566  0.000 
60769961.160 136713782.413  0.000 -27.213 12.100  0.000 
58409750.970 137738962.126  0.000 -27.417 11.630  0.000 
56032263.817 138723392.697  0.000 -27.613 11.156  0.000 
53638203.179 139666783.097  0.000 -27.801 10.680  0.000 
51228277.431 140568854.445  0.000 -27.980 10.200  0.000 
48803199.633 141429340.088  0.000 -28.152  9.717  0.000 
46363687.322 142247985.679  0.000 -28.314  9.232  0.000 
43910462.301 143024549.251  0.000 -28.469  8.743  0.000 
41444250.420 143758801.292  0.000 -28.615  8.252  0.000 
38965781.366 144450524.808  0.000 -28.753  7.759  0.000 
36475788.444 145099515.392  0.000 -28.882  7.263  0.000 
33975008.363 145705581.278  0.000 -29.002  6.765  0.000 
31464181.014 146268543.405  0.000 -29.114  6.265  0.000 
28944049.255 146788235.463  0.000 -29.218  5.764  0.000 
26415358.688 147264503.945  0.000 -29.312  5.260  0.000 
23878857.442 147697208.192  0.000 -29.399  4.755  0.000 
21335295.946 148086220.433  0.000 -29.476  4.249  0.000 
18785426.713 148431425.827  0.000 -29.545  3.741  0.000 
16230004.113 148732722.489  0.000 -29.604  3.233  0.000 
13669784.155 148990021.527  0.000 -29.656  2.723  0.000 
11105524.254 149203247.064  0.000 -29.698  2.212  0.000 
8537983.019 149372336.261  0.000 -29.732  1.701  0.000 
5967920.017 149497239.337  0.000 -29.756  1.190  0.000 
3396095.557 149577919.580  0.000 -29.772  0.678  0.000 
823270.462 149614353.362  0.000 -29.779  0.166  0.000 
-1749794.159 149606530.143  0.000 -29.778 -0.347  0.000 
-4322337.131 149554452.472  0.000 -29.767 -0.859  0.000 
-6893597.441 149458135.990  0.000 -29.748 -1.371  0.000 
-9462814.463 149317609.424  0.000 -29.720 -1.882  0.000 
-12029228.182 149132914.576  0.000 -29.683 -2.393  0.000 
-14592079.421 148904106.312  0.000 -29.638 -2.903  0.000 
-17150610.061 148631252.548  0.000 -29.583 -3.412  0.000 
-19704063.269 148314434.223  0.000 -29.520 -3.921  0.000 
-22251683.722 147953745.281  0.000 -29.448 -4.428  0.000 
-24792717.828 147549292.643  0.000 -29.368 -4.934  0.000 
-27326413.950 147101196.169  0.000 -29.278 -5.438  0.000 
-29852022.628 146609588.628  0.000 -29.180 -5.941  0.000 
-32368796.801 146074615.658  0.000 -29.074 -6.442  0.000 
-34875992.027 145496435.720  0.000 -28.959 -6.941  0.000 
-37372866.705 144875220.052  0.000 -28.835 -7.438  0.000 
-39858682.291 144211152.620  0.000 -28.703 -7.933  0.000 
-42332703.521 143504430.061  0.000 -28.562 -8.425  0.000 
-44794198.622 142755261.626  0.000 -28.413 -8.915  0.000 
-47242439.535 141963869.116  0.000 -28.255 -9.403  0.000 
-49676702.126 141130486.820  0.000 -28.089 -9.887  0.000 
-52096266.400 140255361.440  0.000 -27.915 -10.369  0.000 
-54500416.717 139338752.026  0.000 -27.732 -10.847  0.000 
-56888442.001 138380929.888  0.000 -27.542 -11.323  0.000 
-59259635.949 137382178.527  0.000 -27.343 -11.795  0.000 
-61613297.243 136342793.543  0.000 -27.136 -12.263  0.000 
-63948729.756 135263082.551  0.000 -26.921 -12.728  0.000 
-66265242.755 134143365.089  0.000 -26.698 -13.189  0.000 
-68562151.110 132983972.523  0.000 -26.467 -13.647  0.000 
-70838775.493 131785247.952  0.000 -26.229 -14.100  0.000 
-73094442.579 130547546.099  0.000 -25.982 -14.549  0.000 
-75328485.246 129271233.215  0.000 -25.728 -14.993  0.000 
-77540242.772 127956686.963  0.000 -25.466 -15.434  0.000 
-79729061.029 126604296.312  0.000 -25.197 -15.869  0.000 
-81894292.678 125214461.416  0.000 -24.920 -16.300  0.000 
-84035297.360 123787593.502  0.000 -24.636 -16.727  0.000 
-86151441.882 122324114.743  0.000 -24.345 -17.148  0.000 
-88242100.410 120824458.135  0.000 -24.046 -17.564  0.000 
-90306654.647 119289067.369  0.000 -23.741 -17.975  0.000 
-92344494.024 117718396.701  0.000 -23.428 -18.381  0.000 
-94355015.870 116112910.814  0.000 -23.108 -18.781  0.000 
-96337625.600 114473084.683  0.000 -22.782 -19.175  0.000 
-98291736.885 112799403.436  0.000 -22.449 -19.564  0.000 
-100216771.825 111092362.206  0.000 -22.109 -19.948  0.000 
-102112161.124 109352465.988  0.000 -21.763 -20.325  0.000 
-103977344.253 107580229.490  0.000 -21.410 -20.696  0.000 
-105811769.620 105776176.976  0.000 -21.051 -21.061  0.000 
-107614894.729 103940842.119  0.000 -20.685 -21.420  0.000 
-109386186.343 102074767.835  0.000 -20.314 -21.773  0.000 
-111125120.640 100178506.128  0.000 -19.936 -22.119  0.000 
-112831183.371 98252617.921  0.000 -19.553 -22.459  0.000 
-114503870.006 96297672.900  0.000 -19.164 -22.791  0.000 
-116142685.889 94314249.333  0.000 -18.769 -23.118  0.000 
-117747146.378 92302933.909  0.000 -18.369 -23.437  0.000 
-119316776.996 90264321.560  0.000 -17.963 -23.750  0.000 
-120851113.562 88199015.286  0.000 -17.552 -24.055  0.000 
-122349702.337 86107625.977  0.000 -17.135 -24.353  0.000 
-123812100.151 83990772.230  0.000 -16.714 -24.644  0.000 
-125237874.537 81849080.170  0.000 -16.288 -24.928  0.000 
-126626603.861 79683183.263  0.000 -15.856 -25.205  0.000 
-127977877.439 77493722.128  0.000 -15.421 -25.474  0.000 
-129291295.668 75281344.348  0.000 -14.980 -25.735  0.000 
-130566470.137 73046704.280  0.000 -14.535 -25.989  0.000 
-131803023.743 70790462.859  0.000 -14.086 -26.235  0.000 
-133000590.806 68513287.406  0.000 -13.633 -26.473  0.000 
-134158817.171 66215851.427  0.000 -13.176 -26.704  0.000 
-135277360.319 63898834.416  0.000 -12.715 -26.927  0.000 
-136355889.463 61562921.654  0.000 -12.250 -27.141  0.000 
-137394085.647 59208804.006  0.000 -11.781 -27.348  0.000 
-138391641.843 56837177.718  0.000 -11.309 -27.547  0.000 
-139348263.039 54448744.210  0.000 -10.833 -27.737  0.000 
-140263666.325 52044209.867  0.000 -10.355 -27.919  0.000 
-141137580.980 49624285.835  0.000 -9.873 -28.093  0.000 
-141969748.549 47189687.805  0.000 -9.389 -28.259  0.000 
-142759922.921 44741135.808  0.000 -8.901 -28.416  0.000 
-143507870.401 42279353.995  0.000 -8.411 -28.565  0.000 
-144213369.779 39805070.428  0.000 -7.919 -28.706  0.000 
-144876212.395 37319016.865  0.000 -7.424 -28.838  0.000 
-145496202.202 34821928.538  0.000 -6.927 -28.961  0.000 
-146073155.822 32314543.945  0.000 -6.428 -29.076  0.000 
-146606902.601 29797604.623  0.000 -5.927 -29.182  0.000 
-147097284.662 27271854.934  0.000 -5.424 -29.280  0.000 
-147544156.944 24738041.841  0.000 -4.920 -29.369  0.000 
-147947387.255 22196914.693  0.000 -4.414 -29.449  0.000 
-148306856.302 19649224.999  0.000 -3.907 -29.521  0.000 
-148622457.734 17095726.206  0.000 -3.398 -29.584  0.000 
-148894098.165 14537173.478  0.000 -2.889 -29.638  0.000 
-149121697.210 11974323.473  0.000 -2.379 -29.683  0.000 
-149305187.503 9407934.118  0.000 -1.868 -29.720  0.000 
-149444514.718 6838764.385  0.000 -1.357 -29.747  0.000 
-149539637.588 4267574.071  0.000 -0.845 -29.766  0.000 
-149590527.914 1695123.564  0.000 -0.333 -29.777  0.000 
-149597170.572 -877826.371  0.000  0.179 -29.778  0.000 
-149559563.523 -3450514.825  0.000  0.691 -29.771  0.000 
-149477717.809 -6022180.963  0.000  1.203 -29.754  0.000 
-149351657.551 -8592064.256  0.000  1.715 -29.729  0.000 
-149181419.941 -11159404.700  0.000  2.226 -29.695  0.000 
-148967055.233 -13723443.044  0.000  2.736 -29.653  0.000 
-148708626.728 -16283421.011  0.000  3.246 -29.601  0.000 
-148406210.751 -18838581.528  0.000  3.754 -29.541  0.000 
-148059896.635 -21388168.942  0.000  4.262 -29.472  0.000 
-147669786.691 -23931429.249  0.000  4.768 -29.395  0.000 
-147235996.177 -26467610.316  0.000  5.273 -29.309  0.000 
-146758653.266 -28995962.101  0.000  5.776 -29.214  0.000 
-146237899.006 -31515736.876  0.000  6.278 -29.110  0.000 
-145673887.282 -34026189.450  0.000  6.777 -28.998  0.000 
-145066784.766 -36526577.384  0.000  7.275 -28.877  0.000 
-144416770.871 -39016161.216  0.000  7.771 -28.748  0.000 
-143724037.697 -41494204.677  0.000  8.264 -28.610  0.000 
-142988789.974 -43959974.909  0.000  8.755 -28.464  0.000 
-142211245.001 -46412742.679  0.000  9.243 -28.309  0.000 
-141391632.585 -48851782.600  0.000  9.728 -28.146  0.000 
-140530194.967 -51276373.341  0.000 10.211 -27.975  0.000 
-139627186.758 -53685797.842  0.000 10.691 -27.795  0.000 
-138682874.856 -56079343.523  0.000 11.167 -27.607  0.000 
-137697538.376 -58456302.501  0.000 11.640 -27.411  0.000 
-136671468.558 -60815971.793  0.000 12.110 -27.207  0.000 
-135604968.689 -63157653.526  0.000 12.576 -26.995  0.000 
-134498354.007 -65480655.143  0.000 13.038 -26.775  0.000 
-133351951.614 -67784289.609  0.000 13.497 -26.546  0.000 
-132166100.375 -70067875.613  0.000 13.951 -26.310  0.000 
-130941150.820 -72330737.768  0.000 14.402 -26.067  0.000 
-129677465.037 -74572206.815  0.000 14.848 -25.815  0.000 
-128375416.572 -76791619.816  0.000 15.290 -25.556  0.000 
-127035390.311 -78988320.350  0.000 15.727 -25.290  0.000 
-125657782.372 -81161658.713  0.000 16.160 -25.015  0.000 
-124242999.985 -83310992.103  0.000 16.588 -24.734  0.000 
-122791461.372 -85435684.815  0.000 17.010 -24.445  0.000 
-121303595.624 -87535108.426  0.000 17.428 -24.149  0.000 
-119779842.575 -89608641.980  0.000 17.841 -23.846  0.000 
-118220652.671 -91655672.177  0.000 18.249 -23.536  0.000 
-116626486.836 -93675593.548  0.000 18.651 -23.218  0.000 
-114997816.340 -95667808.638  0.000 19.047 -22.894  0.000 
-113335122.653 -97631728.179  0.000 19.438 -22.563  0.000 
-111638897.310 -99566771.271  0.000 19.823 -22.226  0.000 
-109909641.761 -101472365.544  0.000 20.203 -21.882  0.000 
-108147867.223 -103347947.337  0.000 20.576 -21.531  0.000 
-106354094.533 -105192961.858  0.000 20.943 -21.174  0.000 
-104528853.990 -107006863.350  0.000 21.304 -20.811  0.000 
-102672685.200 -108789115.255  0.000 21.659 -20.442  0.000 
-100786136.917 -110539190.369  0.000 22.008 -20.066  0.000 
-98869766.879 -112256570.998  0.000 22.350 -19.685  0.000 
-96924141.646 -113940749.115  0.000 22.685 -19.298  0.000 
-94949836.430 -115591226.507  0.000 23.013 -18.905  0.000 
-92947434.927 -117207514.921  0.000 23.335 -18.506  0.000 
-90917529.144 -118789136.213  0.000 23.650 -18.102  0.000 
-88860719.225 -120335622.486  0.000 23.958 -17.693  0.000 
-86777613.270 -121846516.229  0.000 24.259 -17.279  0.000 
-84668827.159 -123321370.453  0.000 24.552 -16.859  0.000 
-82534984.371 -124759748.823  0.000 24.839 -16.434  0.000 
-80376715.795 -126161225.786  0.000 25.118 -16.005  0.000 
-78194659.548 -127525386.699  0.000 25.389 -15.571  0.000 
-75989460.784 -128851827.949  0.000 25.653 -15.132  0.000 
-73761771.505 -130140157.075  0.000 25.910 -14.688  0.000 
-71512250.367 -131389992.884  0.000 26.159 -14.241  0.000 
-69241562.486 -132600965.561  0.000 26.400 -13.789  0.000 
-66950379.241 -133772716.781  0.000 26.633 -13.333  0.000 
-64639378.077 -134904899.815  0.000 26.858 -12.873  0.000 
-62309242.302 -135997179.631  0.000 27.076 -12.409  0.000 
-59960660.888 -137049232.996  0.000 27.285 -11.942  0.000 
-57594328.267 -138060748.569  0.000 27.487 -11.471  0.000 
-55210944.124 -139031426.993  0.000 27.680 -10.997  0.000 
-52811213.189 -139960980.986  0.000 27.865 -10.519  0.000 
-50395845.036 -140849135.426  0.000 28.042 -10.038  0.000 
-47965553.865 -141695627.429  0.000 28.211 -9.555  0.000 
-45521058.293 -142500206.431  0.000 28.371 -9.068  0.000 
-43063081.146 -143262634.261  0.000 28.523 -8.579  0.000 
-40592349.240 -143982685.209  0.000 28.666 -8.087  0.000 
-38109593.169 -144660146.097  0.000 28.801 -7.593  0.000 
-35615547.089 -145294816.339  0.000 28.927 -7.097  0.000 
-33110948.498 -145886508.004  0.000 29.045 -6.599  0.000 
-30596538.024 -146435045.867  0.000 29.154 -6.098  0.000 
-28073059.199 -146940267.464  0.000 29.255 -5.596  0.000 
-25541258.246 -147402023.141  0.000 29.347 -5.092  0.000 
-23001883.851 -147820176.096  0.000 29.430 -4.587  0.000 
-20455686.950 -148194602.422  0.000 29.505 -4.080  0.000 
-17903420.499 -148525191.141  0.000 29.571 -3.572  0.000 
-15345839.259 -148811844.240  0.000 29.628 -3.063  0.000 
-12783699.566 -149054476.699  0.000 29.676 -2.553  0.000 
-10217759.111 -149253016.516  0.000 29.716 -2.042  0.000 
-7648776.716 -149407404.727  0.000 29.747 -1.531  0.000 
-5077512.110 -149517595.428  0.000 29.769 -1.019  0.000 
-2504725.701 -149583555.786  0.000 29.782 -0.507  0.000 
68821.646 -149605266.047  0.000 29.786  0.005  0.000 
2642368.831 -149582719.545  0.000 29.782  0.517  0.000 
5215154.753 -149515922.706  0.000 29.769  1.029  0.000 
7786418.524 -149404895.039  0.000 29.747  1.541  0.000 
10355399.704 -149249669.140  0.000 29.716  2.052  0.000 
12921338.519 -149050290.674  0.000 29.676  2.563  0.000 
15483476.089 -148806818.367  0.000 29.628  3.073  0.000 
18041054.651 -148519323.987  0.000 29.571  3.582  0.000 
20593317.785 -148187892.325  0.000 29.505  4.090  0.000 
23139510.634 -147812621.166  0.000 29.430  4.596  0.000 
25678880.132 -147393621.264  0.000 29.347  5.102  0.000 
28210675.224 -146931016.309  0.000 29.255  5.606  0.000 
30734147.088 -146424942.888  0.000 29.154  6.108  0.000 
33248549.357 -145875550.449  0.000 29.045  6.608  0.000 
35753138.340 -145283001.254  0.000 28.927  7.107  0.000 
38247173.244 -144647470.332  0.000 28.801  7.603  0.000 
40729916.387 -143969145.426  0.000 28.666  8.097  0.000 
43200633.424 -143248226.943  0.000 28.522  8.589  0.000 
45658593.559 -142484927.888  0.000 28.371  9.078  0.000 
48103069.763 -141679473.806  0.000 28.210  9.565  0.000 
50533338.990 -140832102.713  0.000 28.042 10.049  0.000 
52948682.387 -139943065.028  0.000 27.865 10.529  0.000 
55348385.514 -139012623.497  0.000 27.680 11.007  0.000 
57731738.546 -138041053.117  0.000 27.486 11.481  0.000 
60098036.493 -137028641.055  0.000 27.285 11.952  0.000 
62446579.400 -135975686.561  0.000 27.075 12.420  0.000 
64776672.561 -134882500.884  0.000 26.858 12.884  0.000 
67087626.719 -133749407.175  0.000 26.632 13.344  0.000 
69378758.274 -132576740.396  0.000 26.399 13.800  0.000 
71649389.484 -131364847.218  0.000 26.158 14.251  0.000 
73898848.664 -130114085.922  0.000 25.909 14.699  0.000 
76126470.387 -128824826.289  0.000 25.652 15.143  0.000 
78331595.683 -127497449.494  0.000 25.388 15.581  0.000 
80513572.228 -126132347.994  0.000 25.117 16.016  0.000 
82671754.542 -124729925.407  0.000 24.838 16.445  0.000 
84805504.179 -123290596.401  0.000 24.551 16.870  0.000 
86914189.915 -121814786.565  0.000 24.257 17.290  0.000 
