x[km] y[km] z[km] vx[km] vy[km] vz[km]
57762294.339 4136216.707  0.000 -3.415 47.751  0.000 
57319933.837 8251333.630  0.000 -6.812 47.385  0.000 
56585183.964 12324359.901  0.000 -10.174 46.778  0.000 
55561807.306 16334521.897  0.000 -13.485 45.932  0.000 
54255043.850 20261370.395  0.000 -16.726 44.852  0.000 
52671583.531 24084885.972  0.000 -19.881 43.543  0.000 
50819531.218 27785582.092  0.000 -22.935 42.012  0.000 
48708364.317 31344605.320  0.000 -25.872 40.268  0.000 
46348883.246 34743832.131  0.000 -28.676 38.318  0.000 
43753155.056 37965961.808  0.000 -31.334 36.173  0.000 
40934450.517 40994604.932  0.000 -33.831 33.845  0.000 
37907175.018 43814367.010  0.000 -36.155 31.344  0.000 
34686793.678 46410926.796  0.000 -38.295 28.685  0.000 
31289751.064 48771108.934  0.000 -40.240 25.880  0.000 
27733385.983 50882950.517  0.000 -41.979 22.944  0.000 
24035841.788 52735761.268  0.000 -43.504 19.891  0.000 
20215972.714 54320177.028  0.000 -44.807 16.739  0.000 
16293246.726 55628206.310  0.000 -45.882 13.502  0.000 
12287645.413 56653269.690  0.000 -46.723 10.197  0.000 
8219561.461 57390231.873  0.000 -47.326  6.841  0.000 
4109694.237 57835426.294  0.000 -47.689  3.452  0.000 
-21055.959 57986672.154  0.000 -47.809  0.045  0.000 
-4151694.434 57843283.853  0.000 -47.686 -3.360  0.000 
-8261238.881 57406072.782  0.000 -47.321 -6.747  0.000 
-12328825.856 56677341.524  0.000 -46.716 -10.100  0.000 
-16333816.411 55660870.509  0.000 -45.874 -13.400  0.000 
-20255900.358 54361897.237  0.000 -44.800 -16.631  0.000 
-24075198.651 52787088.193  0.000 -43.498 -19.777  0.000 
-27772363.369 50944503.640  0.000 -41.976 -22.821  0.000 
-31328674.828 48843555.487  0.000 -40.242 -25.750  0.000 
-34726135.346 46494958.473  0.000 -38.304 -28.547  0.000 
-37947559.212 43910674.930  0.000 -36.172 -31.199  0.000 
-40976658.434 41103853.431  0.000 -33.857 -33.692  0.000 
-43798123.858 38088761.635  0.000 -31.372 -36.014  0.000 
-46397701.289 34880713.684  0.000 -28.728 -38.153  0.000 
-48762262.247 31495992.520  0.000 -25.938 -40.098  0.000 
-50879869.045 27951767.515  0.000 -23.018 -41.840  0.000 
-52739833.878 24266007.823  0.000 -19.982 -43.370  0.000 
-54332771.671 20457391.886  0.000 -16.845 -44.681  0.000 
-55650646.432 16545213.528  0.000 -13.623 -45.765  0.000 
-56686810.902 12549285.111  0.000 -10.332 -46.617  0.000 
-57436039.340 8489838.201  0.000 -6.989 -47.233  0.000 
-57894553.273 4387422.235  0.000 -3.611 -47.610  0.000 
-58060040.118 262801.673  0.000 -0.215 -47.746  0.000 
-57931664.571 -3863147.880  0.000  3.183 -47.641  0.000 
-57510072.740 -7969544.084  0.000  6.564 -47.294  0.000 
-56797388.971 -12035602.302  0.000  9.912 -46.708  0.000 
-55797205.409 -16040739.578  0.000 13.211 -45.886  0.000 
-54514564.321 -19964677.663  0.000 16.443 -44.831  0.000 
-52955933.275 -23787544.576  0.000 19.591 -43.549  0.000 
-51129173.265 -27489974.241  0.000 22.641 -42.047  0.000 
-49043499.944 -31053203.701  0.000 25.577 -40.331  0.000 
-46709438.130 -34459167.443  0.000 28.384 -38.411  0.000 
-44138769.789 -37690588.386  0.000 31.047 -36.296  0.000 
-41344475.726 -40731065.070  0.000 33.554 -33.996  0.000 
-38340671.260 -43565154.624  0.000 35.891 -31.524  0.000 
-35142536.170 -46178451.101  0.000 38.046 -28.892  0.000 
-31766239.231 -48557658.781  0.000 40.010 -26.112  0.000 
-28228857.700 -50690660.065  0.000 41.771 -23.200  0.000 
-24548292.116 -52566577.616  0.000 43.320 -20.169  0.000 
-20743176.827 -54175830.414  0.000 44.650 -17.035  0.000 
-16832786.657 -55510183.428  0.000 45.754 -13.813  0.000 
-12836940.169 -56562790.632  0.000 46.626 -10.521  0.000 
-8775899.989 -57328231.120  0.000 47.261 -7.174  0.000 
-4670270.666 -57802538.112  0.000 47.656 -3.790  0.000 
-540894.593 -57983220.681  0.000 47.810 -0.386  0.000 
3591253.524 -57869278.045  0.000 47.720  3.021  0.000 
7705173.093 -57461206.329  0.000 47.388  6.414  0.000 
11779944.446 -56760997.726  0.000 46.815  9.775  0.000 
15794835.466 -55772132.024  0.000 46.004 13.087  0.000 
19729407.499 -54499560.515  0.000 44.958 16.334  0.000 
23563619.994 -52949682.324  0.000 43.684 19.498  0.000 
27277933.324 -51130313.263  0.000 42.186 22.564  0.000 
30853409.249 -49050647.330  0.000 40.474 25.516  0.000 
34271808.483 -46721211.018  0.000 38.555 28.338  0.000 
37515684.846 -44153810.662  0.000 36.439 31.017  0.000 
40568475.482 -41361473.064  0.000 34.137 33.538  0.000 
43414586.675 -38358379.677  0.000 31.661 35.889  0.000 
46039474.767 -35159794.693  0.000 29.023 38.058  0.000 
48429721.748 -31781987.381  0.000 26.236 40.033  0.000 
50573105.096 -28242149.079  0.000 23.316 41.804  0.000 
52458661.480 -24558305.268  0.000 20.276 43.362  0.000 
54076743.959 -20749223.186  0.000 17.132 44.699  0.000 
55419072.376 -16834315.463  0.000 13.901 45.808  0.000 
56478776.635 -12833540.292  0.000 10.598 46.684  0.000 
57250432.646 -8767298.674  0.000  7.241 47.322  0.000 
57730090.707 -4656329.268  0.000  3.848 47.718  0.000 
