x[km] y[km] z[km] vx[km] vy[km] vz[km]
 0.173  0.000  0.000  0.000  0.000  0.000 
 0.692  0.008  0.000  0.000  0.000  0.000 
 1.557  0.033  0.000  0.000  0.000  0.000 
 2.768  0.081  0.000  0.000  0.000  0.000 
 4.323  0.163  0.000  0.000  0.000  0.000 
 6.221  0.284  0.000  0.000  0.000  0.000 
 8.462  0.455  0.000  0.000  0.000  0.000 
11.045  0.682  0.000  0.000  0.000  0.000 
13.967  0.974  0.000  0.000  0.000  0.000 
17.227  1.338  0.000  0.000  0.000  0.000 
20.824  1.783  0.000  0.000  0.000  0.000 
24.755  2.316  0.000  0.000  0.000  0.000 
29.017  2.945  0.000  0.000  0.000  0.000 
33.609  3.678  0.000  0.000  0.000  0.000 
38.527  4.523  0.000  0.000  0.000  0.000 
43.769  5.487  0.000  0.000  0.000  0.000 
49.332  6.577  0.000  0.000  0.000  0.000 
55.212  7.802  0.000  0.000  0.000  0.000 
61.407  9.168  0.000  0.000  0.000  0.000 
67.912 10.682  0.000  0.000  0.000  0.000 
74.724 12.353  0.000  0.000  0.000  0.000 
81.838 14.186  0.000  0.000  0.000  0.000 
89.251 16.189  0.000  0.000  0.000  0.000 
96.959 18.369  0.000  0.000  0.000  0.000 
104.957 20.733  0.000  0.000  0.000  0.000 
113.240 23.286  0.000  0.000  0.000  0.000 
121.803 26.036  0.000  0.000  0.000  0.000 
130.642 28.989  0.000  0.000  0.000  0.000 
139.752 32.152  0.000  0.000  0.000  0.000 
149.127 35.529  0.000  0.000  0.000  0.000 
158.762 39.128  0.000  0.000  0.000  0.000 
168.651 42.955  0.000  0.000  0.000  0.000 
178.789 47.014  0.000  0.000  0.000  0.000 
189.170 51.311  0.000  0.000  0.000  0.000 
199.788 55.852  0.000  0.000  0.000  0.000 
210.637 60.643  0.000  0.000  0.000  0.000 
221.711 65.687  0.000  0.000  0.000  0.000 
233.004 70.990  0.000  0.000  0.000  0.000 
244.508 76.558  0.000  0.000  0.000  0.000 
256.218 82.394  0.000  0.000  0.000  0.000 
268.127 88.502  0.000  0.000  0.000  0.000 
280.228 94.888  0.000  0.000  0.000  0.000 
292.514 101.555  0.000  0.000  0.000  0.000 
304.979 108.507  0.000  0.000  0.000  0.000 
317.616 115.748  0.000  0.000  0.000  0.000 
330.416 123.281  0.000  0.000  0.000  0.000 
343.374 131.111  0.000  0.000  0.000  0.000 
356.482 139.239  0.000  0.000  0.000  0.000 
369.732 147.669  0.000  0.000  0.000  0.000 
383.118 156.404  0.000  0.000  0.000  0.000 
396.631 165.446  0.000  0.000  0.000  0.000 
410.265 174.798  0.000  0.000  0.000  0.000 
424.012 184.463  0.000  0.000  0.000  0.000 
437.864 194.441  0.000  0.000  0.000  0.000 
451.813 204.736  0.000  0.000  0.000  0.000 
465.853 215.348  0.000  0.000  0.000  0.000 
479.974 226.279  0.000  0.000  0.000  0.000 
494.170 237.531  0.000  0.000  0.000  0.000 
508.434 249.105  0.000  0.000  0.000  0.000 
522.756 261.001  0.000  0.000  0.000  0.000 
537.129 273.220  0.000  0.000  0.000  0.000 
551.547 285.763  0.000  0.000  0.000  0.000 
566.000 298.629  0.000  0.000  0.000  0.000 
580.481 311.820  0.000  0.000  0.000  0.000 
594.983 325.335  0.000  0.000  0.000  0.000 
609.497 339.173  0.000  0.000  0.000  0.000 
624.016 353.335  0.000  0.000  0.000  0.000 
638.533 367.819  0.000  0.000  0.000  0.000 
653.040 382.625  0.000  0.000  0.000  0.000 
667.528 397.752  0.000  0.000  0.000  0.000 
681.991 413.199  0.000  0.000  0.000  0.000 
696.422 428.963  0.000  0.000  0.000  0.000 
710.812 445.044  0.000  0.000  0.000  0.000 
725.154 461.439  0.000  0.000  0.000  0.000 
739.441 478.148  0.000  0.000  0.000  0.000 
753.666 495.167  0.000  0.000  0.000  0.000 
767.821 512.494  0.000  0.000  0.000  0.000 
781.900 530.127  0.000  0.000  0.000  0.000 
795.895 548.063  0.000  0.000  0.000  0.000 
809.799 566.300  0.000  0.000  0.000  0.000 
823.606 584.834  0.000  0.000  0.000  0.000 
837.308 603.662  0.000  0.000  0.000  0.000 
850.899 622.780  0.000  0.000  0.000  0.000 
864.373 642.186  0.000  0.000  0.000  0.000 
877.723 661.876  0.000  0.000  0.000  0.000 
