x[km] y[km] z[km] vx[km] vy[km] vz[km]
108167698.676 3025814.225  0.000 -0.979 35.007  0.000 
108040827.802 6049262.620  0.000 -1.957 34.966  0.000 
107829486.645 9067981.210  0.000 -2.934 34.898  0.000 
107533840.562 12079609.726  0.000 -3.908 34.802  0.000 
107154120.874 15081793.456  0.000 -4.880 34.679  0.000 
106690624.679 18072185.089  0.000 -5.847 34.529  0.000 
106143714.622 21048446.556  0.000 -6.810 34.352  0.000 
105513818.610 24008250.859  0.000 -7.768 34.148  0.000 
104801429.472 26949283.900  0.000 -8.719 33.918  0.000 
104007104.577 29869246.287  0.000 -9.664 33.661  0.000 
103131465.394 32765855.141  0.000 -10.601 33.377  0.000 
102175197.002 35636845.881  0.000 -11.530 33.068  0.000 
101139047.553 38479974.000  0.000 -12.450 32.732  0.000 
100023827.687 41293016.820  0.000 -13.360 32.372  0.000 
98830409.892 44073775.236  0.000 -14.260 31.985  0.000 
97559727.817 46820075.435  0.000 -15.148 31.574  0.000 
96212775.544 49529770.599  0.000 -16.025 31.138  0.000 
94790606.805 52200742.586  0.000 -16.889 30.678  0.000 
93294334.152 54830903.585  0.000 -17.740 30.194  0.000 
91725128.086 57418197.754  0.000 -18.577 29.686  0.000 
90084216.137 59960602.826  0.000 -19.400 29.155  0.000 
88372881.902 62456131.691  0.000 -20.207 28.601  0.000 
86592464.033 64902833.951  0.000 -20.998 28.025  0.000 
84744355.191 67298797.445  0.000 -21.774 27.427  0.000 
82830000.951 69642149.744  0.000 -22.532 26.807  0.000 
80850898.666 71931059.614  0.000 -23.272 26.167  0.000 
78808596.294 74163738.451  0.000 -23.994 25.506  0.000 
76704691.182 76338441.674  0.000 -24.698 24.825  0.000 
74540828.814 78453470.089  0.000 -25.382 24.125  0.000 
72318701.520 80507171.219  0.000 -26.046 23.406  0.000 
70040047.148 82497940.593  0.000 -26.690 22.668  0.000 
67706647.703 84424222.997  0.000 -27.313 21.913  0.000 
65320327.946 86284513.690  0.000 -27.915 21.141  0.000 
62882953.967 88077359.580  0.000 -28.495 20.352  0.000 
60396431.721 89801360.351  0.000 -29.052 19.548  0.000 
57862705.535 91455169.562  0.000 -29.587 18.728  0.000 
55283756.582 93037495.695  0.000 -30.099 17.893  0.000 
52661601.331 94547103.159  0.000 -30.587 17.045  0.000 
49998289.965 95982813.256  0.000 -31.051 16.183  0.000 
47295904.780 97343505.096  0.000 -31.492 15.308  0.000 
44556558.547 98628116.472  0.000 -31.907 14.422  0.000 
41782392.864 99835644.687  0.000 -32.297 13.524  0.000 
38975576.475 100965147.331  0.000 -32.663 12.616  0.000 
36138303.574 102015743.016  0.000 -33.002 11.698  0.000 
